Indicator;Country;Date;value
Deaths;Senegal;15/01/2015;0
Cases;Senegal;16/01/2015;1
Cases;Guinea;16/01/2015;2825
Deaths;Guinea;16/01/2015;1829
Cases;Liberia;16/01/2015;8362
Deaths;Liberia;16/01/2015;3556
Deaths;Mali;16/01/2015;6
Cases;Mali;16/01/2015;8
Cases;Nigeria;16/01/2015;20
Deaths;Nigeria;16/01/2015;8
Cases;Sierra Leone;16/01/2015;10186
Deaths;Sierra Leone;16/01/2015;3083
Cases;Spain;16/01/2015;1
Deaths;Spain;16/01/2015;0
Deaths;United Kingdom;16/01/2015;0
Cases;United Kingdom;16/01/2015;1
Cases;United States of America;16/01/2015;4
Deaths;United States of America;16/01/2015;1
Deaths;Senegal;16/01/2015;0
Cases;Senegal;19/01/2015;1
Deaths;Guinea;19/01/2015;1875
Cases;Guinea;19/01/2015;2873
Cases;Liberia;19/01/2015;8435
Deaths;Liberia;19/01/2015;3587
Deaths;Mali;19/01/2015;6
Cases;Mali;19/01/2015;8
Cases;Nigeria;19/01/2015;20
Deaths;Nigeria;19/01/2015;8
Cases;Sierra Leone;19/01/2015;10306
Deaths;Sierra Leone;19/01/2015;3132
Cases;Spain;19/01/2015;1
Deaths;Spain;19/01/2015;0
Deaths;United Kingdom;19/01/2015;0
Cases;United Kingdom;19/01/2015;1
Cases;United States of America;19/01/2015;4
Deaths;United States of America;19/01/2015;1
Deaths;Senegal;19/01/2015;0
Cases;Senegal;20/01/2015;1
Deaths;Guinea;20/01/2015;1876
Cases;Guinea;20/01/2015;2871
Cases;Liberia;20/01/2015;8478
Deaths;Liberia;20/01/2015;3605
Deaths;Mali;20/01/2015;6
Cases;Mali;20/01/2015;8
Cases;Nigeria;20/01/2015;20
Deaths;Nigeria;20/01/2015;8
Deaths;Sierra Leone;20/01/2015;3145
Cases;Sierra Leone;20/01/2015;10340
Cases;Spain;20/01/2015;1
Deaths;Spain;20/01/2015;0
Deaths;United Kingdom;20/01/2015;0
Cases;United Kingdom;20/01/2015;1
